FID,Town_ID,Name,County,Pop_2010,Pop_2000,Pop_1990,Type,Lon,Lat,Elevation,Alt_Names,Max_2010,Max_2000,Max_1990,GeoID10,Shifted
311,312,Evergreen,Flathead,7616,6881,6306,Census Designated Place,-114.276001,48.22579956,2923, ,7616,8010,7230,3025075,0
312,313,Fallon,Prairie,164,138,151,Census Designated Place,-105.1190033,46.83560181,2208, ,164,171,217,3025375,0
313,314,Ferdig,Toole,2,3,3,2-mile diameter circle,-111.7750015,48.75419998,3520, ,17,34,35, ,0
314,315,Fergus,Fergus,3,3,5,2-mile diameter circle,-109.0670013,47.33380127,3760, ,68,96,75, ,1
315,316,Ferndale,Lake,421,475,351,"2-mile diameter circle, Part of a CDP",-114.0070038,48.05160141,3071,Partly in the Bigfork CDP (3005875),1173,1135,1065, ,0
316,317,Finch,Rosebud,8,9,13,2-mile diameter circle,-106.9759979,46.28359985,2582, ,38,74,92, ,0
317,318,Fishtail,Stillwater,75,75,44,2-mile diameter circle,-109.5039978,45.45360184,4465, ,114,150,178, ,0
318,319,Fishtrap,Deer Lodge,6,1,2,2-mile diameter circle,-113.2289963,45.87210083,5879, ,19,9,220, ,0
319,320,Flatwillow,Petroleum,7,0,1,2-mile diameter circle,-108.401001,46.83470154,3205, ,22,14,149, ,1
320,321,Floweree,Chouteau,15,12,11,2-mile diameter circle,-111.0270004,47.72969818,3225, ,49,40,35, ,0
321,322,Forest Park,Dawson,1948,1973,2262,Census Designated Place with Alternate Name,-104.7580032,47.10469818,2110,Same as West Glendive CDP,1948,2280,2398,3079086,0
322,323,Forestgrove,Fergus,5,4,6,2-mile diameter circle,-109.0800018,46.99140167,4072, ,36,46,63, ,0
323,324,Fort Kipp,Roosevelt,180,178,51,2-mile diameter circle,-104.7160034,48.14670181,1942, ,234,227,212, ,0
324,325,Fort Shaw,Cascade,280,271,233,Census Designated Place,-111.8099976,47.50550079,3504, ,280,529,466,3028600,0
325,326,Fort Smith,Big Horn,161,158,95,Census Designated Place,-107.9319992,45.31110001,3287, ,161,316,248,3028650,1
326,327,Fortine,Lincoln,325,227,193,Census Designated Place,-114.9029999,48.76440048,2969, ,325,431,460,3028150,0
