Lon,Lat,Name,County,Pop_2010,Pop_2000,Pop_1990,Type
-112.5390015,46.02939987,Walkerville,Silver Bow,675,759,811,Incorporated Place
-109.0059967,45.14260101,Belfry,Carbon,218,215,194,Census Designated Place
-114.0800018,48.06430054,Bigfork,Flathead,3618,3031,2277,Manually defined region
-110.0139999,48.31639862,Box Elder,Hill,87,78,92,Census Designated Place
-111.8399963,48.03659821,Brady,Pondera,140,158,146,Census Designated Place
-113.7129974,46.77009964,Clinton,Missoula,1052,674,403,Census Designated Place
-113.7089996,47.52730179,Condon,Missoula,343,268,271,Census Designated Place
-114.1139984,46.31430054,Corvallis,Ravalli,976,573,331,Census Designated Place
-107.5540009,46.1291008,Custer,Yellowstone,159,143,100,Census Designated Place
-114.3150024,47.31620026,Dixon,Sanders,203,216,167,Census Designated Place
-114.0800018,46.63040161,Florence,Ravalli,765,510,448,Census Designated Place
-114.2310028,47.0141983,Frenchtown,Missoula,1825,1039,480,Census Designated Place
-111.3519974,48.47470093,Galata,Toole,12,14,22,2-mile diameter circle
-111.2009964,45.59220123,Gallatin Gateway,Gallatin,856,867,617,Census Designated Place
-110.7060013,45.03250122,Gardiner,Park,875,873,927,Census Designated Place
-110.3000031,48.5685997,Gildford,Hill,179,184,186,Census Designated Place
-111.7860031,45.70149994,Harrison,Madison,137,158,37,Census Designated Place
-115.9570007,48.05799866,Heron,Sanders,282,192,180,Census Designated Place
-107.086998,48.39339828,Hinsdale,Valley,217,211,246,Census Designated Place
-110.7730026,48.56000137,Joplin,Liberty,157,210,248,Census Designated Place
-104.6240005,47.68320084,Lambert,Richland,158,157,148,Census Designated Place with Alternate Name
-114.663002,48.10580063,Marion,Flathead,886,443,232,Census Designated Place
-111.947998,46.53839874,Montana City,Jefferson,2715,2140,1270,Census Designated Place
-115.7779999,47.99459839,Noxon,Sanders,218,222,221,Census Designated Place
-108.9169998,45.6310997,Park City,Stillwater,983,851,675,Census Designated Place
-105.8310013,48.78319931,Peerless,Daniels,21,46,60,2-mile diameter circle
-111.6869965,47.71530151,Power,Teton,179,167,121,Census Designated Place
-110.6819992,45.38019943,Pray,Park,681,421,247,Census Designated Place
